id;nome;Municipio;Classificação autora;UF;decimallon;decimallat
795;Airton Ribeiro 1;Campo Belo do Sul;Proto_Je;SC;-50.81847749;-27.71196403
796;Donisete 1;Campo Belo do Sul;Proto_Je;SC;-50.81685767;-27.71006609
797;Airton Ribeiro 2;Campo Belo do Sul;Proto_Je;SC;-50.81662358;-27.7166018
798;Juvenil Moraes;Campo Belo do Sul;Proto_Je;SC;-50.81317445;-27.64515206
799;Luis Carlos 3;Campo Belo do Sul;Proto_Je;SC;-50.80320197;-27.73404279
800;Cassiano Matos;Campo Belo do Sul;Proto_Je;SC;-50.80075698;-27.65576041
801;Clarinda de Moraes;Campo Belo do Sul;Proto_Je;SC;-50.79930076;-27.64816599
802;Plinio Luerce;Campo Belo do Sul;Proto_Je;SC;-50.79681992;-27.64658253
803;Luis Carlos 4;Campo Belo do Sul;Proto_Je;SC;-50.79444109;-27.73133983
804;Davi & Sebastiao;Campo Belo do Sul;Proto_Je;SC;-50.79162257;-27.73032452
805;Alceu de Oliveira 1;Campo Belo do Sul;Proto_Je;SC;-50.78945661;-27.64303267
806;Antônio Nilson 2;Campo Belo do Sul;Proto_Je;SC;-50.78935852;-27.72588853
807;Antônio Nilson 1;Campo Belo do Sul;Proto_Je;SC;-50.78815858;-27.72210412
808;Valmor Baggio 6;Campo Belo do Sul;Proto_Je;SC;-50.78255482;-27.6933785
809;Pedro Oliveira 2;Campo Belo do Sul;Proto_Je;SC;-50.78218804;-27.69932715
810;Carlos Rossetto;Campo Belo do Sul;Proto_Je;SC;-50.77978615;-27.66298696
811;Valmor Baggio 5;Campo Belo do Sul;Proto_Je;SC;-50.77967131;-27.70000927
812;Alceu de Oliveira 2;Campo Belo do Sul;Proto_Je;SC;-50.77924039;-27.6368689
813;Valmor Baggio 3;Campo Belo do Sul;Proto_Je;SC;-50.77830883;-27.69163846
814;Moises;Campo Belo do Sul;Proto_Je;SC;-50.77596904;-27.66035378
815;Valmor Baggio 4;Campo Belo do Sul;Proto_Je;SC;-50.76809642;-27.68663847
816;Antônio Branco;Campo Belo do Sul;Proto_Je;SC;-50.76412281;-27.64328981
817;Gilmar da Silva;Campo Belo do Sul;Proto_Je;SC;-50.76242247;-27.64202303
818;Divercino da Silva;Campo Belo do Sul;Proto_Je;SC;-50.76003603;-27.64394182
819;Ernani Garcia;Campo Belo do Sul;Proto_Je;SC;-50.75815109;-27.6713015
820;Celio Marques;Campo Belo do Sul;Proto_Je;SC;-50.75482397;-27.70816461
821;Reni Camargo;Campo Belo do Sul;Proto_Je;SC;-50.75185771;-27.73699352
822;Abreu e Garcia 2;Campo Belo do Sul;Proto_Je;SC;-50.74428568;-27.66870372
823;Jose Maria Rodrigues;Campo Belo do Sul;Proto_Je;SC;-50.74399331;-27.73317857
824;Milton da Silva;Campo Belo do Sul;Proto_Je;SC;-50.74311315;-27.69747271
825;Ernani Garcia 3;Campo Belo do Sul;Proto_Je;SC;-50.73967299;-27.67689226
826;Travessao;Campo Belo do Sul;Proto_Je;SC;-50.73000284;-27.6505671
827;Grande Morada;Campo Belo do Sul;Proto_Je;SC;-50.67085764;-27.90682941
828;Vilmar Vieira Branco;Campos Novos;Proto_Je;SC;-51.48545316;-27.53875956
829;Dirceu Carneiro;Campos Novos;Proto_Je;SC;-51.45194547;-27.53741004
830;Banhado Seco I;Capão Alto;Proto_Je;SC;-50.53489553;-27.901608
831;Banhado Seco II;Capão Alto;Proto_Je;SC;-50.53306514;-27.90192679
832;SC-CL-19;Capão Alto;Proto_Je;SC;-50.52018315;-27.93360422
833;SC-CL-21;Capão Alto;Proto_Je;SC;-50.51574343;-27.93998896
834;Aroeira;Capão Alto;Proto_Je;SC;-50.37442327;-27.93295603
835;Otacilia Mendes;Celso Ramos;Proto_Je;SC;-51.33585503;-27.66095848
836;SC-CH-122;Chapecó;Proto_Je;SC;-52.76142702;-27.24311192
837;SC-CH-181;Chapecó;Proto_Je;SC;-52.76120578;-27.20146058
838;SC-CH-123;Chapecó;Proto_Je;SC;-52.76111688;-27.24329633
839;SC-CH-127;Chapecó;Proto_Je;SC;-52.76092954;-27.24935499
840;SC-CH-124;Chapecó;Proto_Je;SC;-52.76070533;-27.24537744
841;SC-CH-128;Chapecó;Proto_Je;SC;-52.76053572;-27.24294261
842;SC-CH-125;Chapecó;Proto_Je;SC;-52.76021553;-27.24890366
843;SC-CH-129;Chapecó;Proto_Je;SC;-52.76017952;-27.24276658
844;SC-CH-106;Chapecó;Proto_Je;SC;-52.75941097;-27.23627766
845;SC-CH-126;Chapecó;Proto_Je;SC;-52.7593805;-27.24846287
846;SC-CH-118;Chapecó;Proto_Je;SC;-52.7589724;-27.24242072
847;SC-CH-99;Chapecó;Proto_Je;SC;-52.7580943;-27.23602343
848;SC-CH-115;Chapecó;Proto_Je;SC;-52.75754585;-27.24288992
849;SC-CH-109;Chapecó;Proto_Je;SC;-52.75731978;-27.23621367
850;SC-CH-172;Chapecó;Proto_Je;SC;-52.75663389;-27.23304519
851;SC-CH-120;Chapecó;Proto_Je;SC;-52.75615932;-27.24462223
852;SC-CH-130;Chapecó;Proto_Je;SC;-52.75608865;-27.24976782
853;SC-CH-113;Chapecó;Proto_Je;SC;-52.75462503;-27.20576109
854;SC-CH-116;Chapecó;Proto_Je;SC;-52.75445267;-27.24590724
855;SC-CH-121;Chapecó;Proto_Je;SC;-52.75430235;-27.24211829
856;SC-CH-177;Chapecó;Proto_Je;SC;-52.75390568;-27.21874637
857;SC-CH-133;Chapecó;Proto_Je;SC;-52.75358334;-27.25422187
858;SC-CH-50;Chapecó;Proto_Je;SC;-52.75314863;-27.24646513
859;SC-CH-175;Chapecó;Proto_Je;SC;-52.7530149;-27.22891159
860;SC-CH-137;Chapecó;Proto_Je;SC;-52.75293088;-27.25576443
861;SC-CH-174;Chapecó;Proto_Je;SC;-52.75264504;-27.22786019
862;SC-CH-49;Chapecó;Proto_Je;SC;-52.75233203;-27.24719742
863;SC-CH-53;Chapecó;Proto_Je;SC;-52.75178863;-27.24603086
864;SC-CH-100;Chapecó;Proto_Je;SC;-52.75164265;-27.23799971
